origin_nid,destin_nid,traveler_id,departure_time,enter_station,exit_station
30,29,41,34152,caofang,beiyunhexi
36,37,42,22083,jintai_lu,lucheng
36,41,43,34125,jintai_lu,wuzi_xueyuan_lu
41,33,44,26390,wuzi_xueyuan_lu,dongxiayuan
29,41,45,32816,beiyunhexi,wuzi_xueyuan_lu
35,33,46,21948,huangqu,dongxiayuan
37,28,47,28503,lucheng,beiyunhedong
34,28,48,22019,haojiafu,beiyunhedong
36,37,49,34200,jintai_lu,lucheng
41,37,50,27913,wuzi_xueyuan_lu,lucheng
29,31,51,32964,beiyunhexi,changying
37,28,52,34515,lucheng,beiyunhedong
35,32,53,30679,huangqu,dalianpo
31,38,54,31534,changying,qingnian_lu
33,36,55,23527,dongxiayuan,jintai_lu
38,31,56,25675,qingnian_lu,changying
40,35,57,31529,tongzhou_beiguan,huangqu
38,32,58,32072,qingnian_lu,dalianpo
28,41,59,24611,beiyunhedong,wuzi_xueyuan_lu
31,39,60,34627,changying,shilipu
35,40,61,22284,huangqu,tongzhou_beiguan
37,35,62,32195,lucheng,huangqu
37,40,63,25933,lucheng,tongzhou_beiguan
28,38,64,26246,beiyunhedong,qingnian_lu
35,41,65,23907,huangqu,wuzi_xueyuan_lu
39,41,66,28604,shilipu,wuzi_xueyuan_lu
32,34,67,26796,dalianpo,haojiafu
28,29,68,35845,beiyunhedong,beiyunhexi
30,35,69,23177,caofang,huangqu
39,35,70,23044,shilipu,huangqu
28,41,71,27801,beiyunhedong,wuzi_xueyuan_lu
38,32,72,32326,qingnian_lu,dalianpo
28,38,73,23704,beiyunhedong,qingnian_lu
40,31,74,31199,tongzhou_beiguan,changying
39,36,75,34057,shilipu,jintai_lu
33,41,76,32829,dongxiayuan,wuzi_xueyuan_lu
30,28,77,33604,caofang,beiyunhedong
38,32,78,22627,qingnian_lu,dalianpo
32,38,79,35755,dalianpo,qingnian_lu
30,37,80,31229,caofang,lucheng
29,36,81,26112,beiyunhexi,jintai_lu
38,28,82,27445,qingnian_lu,beiyunhedong
35,32,83,35747,huangqu,dalianpo
33,32,84,26655,dongxiayuan,dalianpo
32,41,85,30688,dalianpo,wuzi_xueyuan_lu
35,41,86,32577,huangqu,wuzi_xueyuan_lu
32,30,87,34113,dalianpo,caofang
34,40,88,25814,haojiafu,tongzhou_beiguan
33,36,89,25828,dongxiayuan,jintai_lu
34,37,90,34858,haojiafu,lucheng
32,41,91,28886,dalianpo,wuzi_xueyuan_lu
31,36,92,33206,changying,jintai_lu
39,31,93,29384,shilipu,changying
29,38,94,22138,beiyunhexi,qingnian_lu
28,36,95,24374,beiyunhedong,jintai_lu
41,36,96,26844,wuzi_xueyuan_lu,jintai_lu
35,32,97,24963,huangqu,dalianpo
36,33,98,27491,jintai_lu,dongxiayuan
39,31,99,25596,shilipu,changying
37,36,100,34354,lucheng,jintai_lu
32,31,101,24169,dalianpo,changying
38,29,102,21823,qingnian_lu,beiyunhexi
40,30,103,29397,tongzhou_beiguan,caofang
40,35,104,24653,tongzhou_beiguan,huangqu
37,28,105,30345,lucheng,beiyunhedong
35,30,106,34904,huangqu,caofang
28,38,107,25977,beiyunhedong,qingnian_lu
32,28,108,32022,dalianpo,beiyunhedong
36,32,109,21836,jintai_lu,dalianpo
35,41,110,27472,huangqu,wuzi_xueyuan_lu
28,32,111,27704,beiyunhedong,dalianpo
31,33,112,23231,changying,dongxiayuan
40,28,113,32700,tongzhou_beiguan,beiyunhedong
32,40,114,26441,dalianpo,tongzhou_beiguan
28,34,115,25148,beiyunhedong,haojiafu
39,35,116,34956,shilipu,huangqu
34,37,117,34385,haojiafu,lucheng
39,28,118,25784,shilipu,beiyunhedong
33,28,119,34738,dongxiayuan,beiyunhedong
34,41,120,23994,haojiafu,wuzi_xueyuan_lu
38,37,121,31334,qingnian_lu,lucheng
34,38,122,31630,haojiafu,qingnian_lu
38,34,123,29327,qingnian_lu,haojiafu
29,36,124,24454,beiyunhexi,jintai_lu
38,39,125,27393,qingnian_lu,shilipu
32,33,126,26380,dalianpo,dongxiayuan
39,35,127,32753,shilipu,huangqu
33,34,128,27971,dongxiayuan,haojiafu
30,34,129,29921,caofang,haojiafu
36,32,130,27004,jintai_lu,dalianpo
33,37,131,34630,dongxiayuan,lucheng
33,28,132,34968,dongxiayuan,beiyunhedong
29,30,133,29552,beiyunhexi,caofang
40,36,134,26377,tongzhou_beiguan,jintai_lu
33,41,135,32397,dongxiayuan,wuzi_xueyuan_lu
31,30,136,30955,changying,caofang
35,36,137,31222,huangqu,jintai_lu
36,34,138,24598,jintai_lu,haojiafu
40,35,139,26246,tongzhou_beiguan,huangqu
39,35,140,21774,shilipu,huangqu
32,38,141,35181,dalianpo,qingnian_lu
33,28,142,21991,dongxiayuan,beiyunhedong
39,41,143,29906,shilipu,wuzi_xueyuan_lu
28,30,144,24924,beiyunhedong,caofang
31,40,145,34601,changying,tongzhou_beiguan
29,41,146,32502,beiyunhexi,wuzi_xueyuan_lu
33,40,147,25689,dongxiayuan,tongzhou_beiguan
39,32,148,31205,shilipu,dalianpo
29,40,149,25498,beiyunhexi,tongzhou_beiguan
33,40,150,28357,dongxiayuan,tongzhou_beiguan
40,33,151,28140,tongzhou_beiguan,dongxiayuan
34,36,152,35974,haojiafu,jintai_lu
36,32,153,22157,jintai_lu,dalianpo
41,35,154,22465,wuzi_xueyuan_lu,huangqu
32,34,155,26699,dalianpo,haojiafu
29,41,156,32285,beiyunhexi,wuzi_xueyuan_lu
28,36,157,31080,beiyunhedong,jintai_lu
33,39,158,27009,dongxiayuan,shilipu
32,41,159,30451,dalianpo,wuzi_xueyuan_lu
33,41,160,35374,dongxiayuan,wuzi_xueyuan_lu
37,32,161,29162,lucheng,dalianpo
30,39,162,27167,caofang,shilipu
33,38,163,30176,dongxiayuan,qingnian_lu
31,36,164,29096,changying,jintai_lu
31,41,165,30892,changying,wuzi_xueyuan_lu
33,35,166,22219,dongxiayuan,huangqu
36,35,167,34657,jintai_lu,huangqu
38,41,168,29690,qingnian_lu,wuzi_xueyuan_lu
31,37,169,32460,changying,lucheng
34,32,170,31458,haojiafu,dalianpo
31,35,171,29556,changying,huangqu
33,28,172,35938,dongxiayuan,beiyunhedong
31,32,173,25975,changying,dalianpo
40,35,174,32549,tongzhou_beiguan,huangqu
41,32,175,32617,wuzi_xueyuan_lu,dalianpo
31,33,176,28647,changying,dongxiayuan
28,41,177,28997,beiyunhedong,wuzi_xueyuan_lu
31,28,178,25176,changying,beiyunhedong
40,39,179,22575,tongzhou_beiguan,shilipu
31,39,180,26716,changying,shilipu
33,39,181,33753,dongxiayuan,shilipu
34,36,182,24017,haojiafu,jintai_lu
29,35,183,23363,beiyunhexi,huangqu
39,35,184,34500,shilipu,huangqu
34,30,185,23974,haojiafu,caofang
40,35,186,35255,tongzhou_beiguan,huangqu
38,41,187,32631,qingnian_lu,wuzi_xueyuan_lu
31,28,188,25669,changying,beiyunhedong
38,36,189,26882,qingnian_lu,jintai_lu
39,36,190,30234,shilipu,jintai_lu
29,41,191,28364,beiyunhexi,wuzi_xueyuan_lu
28,32,192,31197,beiyunhedong,dalianpo
33,34,193,33276,dongxiayuan,haojiafu
34,30,194,35809,haojiafu,caofang
32,40,195,32562,dalianpo,tongzhou_beiguan
41,39,196,26184,wuzi_xueyuan_lu,shilipu
40,31,197,24532,tongzhou_beiguan,changying
30,39,198,23505,caofang,shilipu
37,33,199,27803,lucheng,dongxiayuan
29,40,200,30374,beiyunhexi,tongzhou_beiguan
30,35,201,21968,caofang,huangqu
36,34,202,31159,jintai_lu,haojiafu
32,33,203,32006,dalianpo,dongxiayuan
34,35,204,22386,haojiafu,huangqu
40,29,205,24319,tongzhou_beiguan,beiyunhexi
28,30,206,35123,beiyunhedong,caofang
32,30,207,28199,dalianpo,caofang
32,38,208,34997,dalianpo,qingnian_lu
36,34,209,23216,jintai_lu,haojiafu
28,33,210,32962,beiyunhedong,dongxiayuan
36,31,211,30045,jintai_lu,changying
30,35,212,23973,caofang,huangqu
34,32,213,28671,haojiafu,dalianpo
41,32,214,21832,wuzi_xueyuan_lu,dalianpo
31,40,215,33728,changying,tongzhou_beiguan
31,30,216,28452,changying,caofang
40,33,217,23780,tongzhou_beiguan,dongxiayuan
38,34,218,28531,qingnian_lu,haojiafu
39,32,219,24078,shilipu,dalianpo
36,37,220,30439,jintai_lu,lucheng
39,29,221,35256,shilipu,beiyunhexi
31,33,222,32392,changying,dongxiayuan
41,31,223,32167,wuzi_xueyuan_lu,changying
28,32,224,26624,beiyunhedong,dalianpo
39,40,225,25804,shilipu,tongzhou_beiguan
28,30,226,25469,beiyunhedong,caofang
40,33,227,26865,tongzhou_beiguan,dongxiayuan
28,36,228,33519,beiyunhedong,jintai_lu
28,31,229,25138,beiyunhedong,changying
29,33,230,27050,beiyunhexi,dongxiayuan
31,29,231,33606,changying,beiyunhexi
39,31,232,29723,shilipu,changying
37,33,233,30174,lucheng,dongxiayuan
33,38,234,29950,dongxiayuan,qingnian_lu
33,34,235,33241,dongxiayuan,haojiafu
32,36,236,30652,dalianpo,jintai_lu
39,38,237,27462,shilipu,qingnian_lu
33,39,238,35228,dongxiayuan,shilipu
34,37,239,33501,haojiafu,lucheng
34,40,240,26650,haojiafu,tongzhou_beiguan
30,38,241,33155,caofang,qingnian_lu
40,29,242,34947,tongzhou_beiguan,beiyunhexi
40,35,243,33810,tongzhou_beiguan,huangqu
37,29,244,24393,lucheng,beiyunhexi
41,29,245,27258,wuzi_xueyuan_lu,beiyunhexi
29,39,246,31327,beiyunhexi,shilipu
41,34,247,35518,wuzi_xueyuan_lu,haojiafu
33,29,248,31646,dongxiayuan,beiyunhexi
41,40,249,24183,wuzi_xueyuan_lu,tongzhou_beiguan
38,36,250,35491,qingnian_lu,jintai_lu
39,29,251,30077,shilipu,beiyunhexi
37,36,252,29419,lucheng,jintai_lu
28,30,253,27068,beiyunhedong,caofang
40,33,254,26341,tongzhou_beiguan,dongxiayuan
33,41,255,25916,dongxiayuan,wuzi_xueyuan_lu
31,40,256,23515,changying,tongzhou_beiguan
37,40,257,22108,lucheng,tongzhou_beiguan
36,29,258,31007,jintai_lu,beiyunhexi
33,30,259,25603,dongxiayuan,caofang
40,41,260,35231,tongzhou_beiguan,wuzi_xueyuan_lu
33,40,261,27753,dongxiayuan,tongzhou_beiguan
39,30,262,21722,shilipu,caofang
28,30,263,26423,beiyunhedong,caofang
28,31,264,29209,beiyunhedong,changying
28,30,265,34622,beiyunhedong,caofang
40,36,266,24300,tongzhou_beiguan,jintai_lu
34,36,267,32152,haojiafu,jintai_lu
29,34,268,26985,beiyunhexi,haojiafu
34,33,269,34061,haojiafu,dongxiayuan
34,31,270,34777,haojiafu,changying
32,38,271,23941,dalianpo,qingnian_lu
38,39,272,31151,qingnian_lu,shilipu
39,30,273,25631,shilipu,caofang
31,34,274,27560,changying,haojiafu
29,32,275,23581,beiyunhexi,dalianpo
35,40,276,33565,huangqu,tongzhou_beiguan
29,32,277,33160,beiyunhexi,dalianpo
41,28,278,35528,wuzi_xueyuan_lu,beiyunhedong
34,36,279,22305,haojiafu,jintai_lu
32,41,280,30152,dalianpo,wuzi_xueyuan_lu
28,32,281,27965,beiyunhedong,dalianpo
34,38,282,32622,haojiafu,qingnian_lu
35,38,283,35660,huangqu,qingnian_lu
35,36,284,35606,huangqu,jintai_lu
37,32,285,35453,lucheng,dalianpo
39,41,286,30041,shilipu,wuzi_xueyuan_lu
31,40,287,24992,changying,tongzhou_beiguan
32,28,288,32523,dalianpo,beiyunhedong
41,37,289,30360,wuzi_xueyuan_lu,lucheng
30,35,290,22893,caofang,huangqu
38,28,291,28446,qingnian_lu,beiyunhedong
38,34,292,32543,qingnian_lu,haojiafu
41,32,293,23679,wuzi_xueyuan_lu,dalianpo
28,29,294,25333,beiyunhedong,beiyunhexi
36,34,295,33165,jintai_lu,haojiafu
29,37,296,28838,beiyunhexi,lucheng
32,28,297,34740,dalianpo,beiyunhedong
28,32,298,24106,beiyunhedong,dalianpo
40,28,299,27980,tongzhou_beiguan,beiyunhedong
41,31,300,24136,wuzi_xueyuan_lu,changying
29,38,301,28331,beiyunhexi,qingnian_lu
37,35,302,27278,lucheng,huangqu
35,39,303,26533,huangqu,shilipu
31,32,304,32122,changying,dalianpo
36,40,305,33984,jintai_lu,tongzhou_beiguan
36,35,306,35169,jintai_lu,huangqu
40,31,307,24109,tongzhou_beiguan,changying
38,41,308,30501,qingnian_lu,wuzi_xueyuan_lu
41,31,309,27174,wuzi_xueyuan_lu,changying
33,32,310,23538,dongxiayuan,dalianpo
38,39,311,33786,qingnian_lu,shilipu
37,40,312,25499,lucheng,tongzhou_beiguan
34,29,313,32312,haojiafu,beiyunhexi
32,29,314,32397,dalianpo,beiyunhexi
39,35,315,34429,shilipu,huangqu
28,38,316,29830,beiyunhedong,qingnian_lu
34,37,317,24908,haojiafu,lucheng
38,35,318,29508,qingnian_lu,huangqu
30,28,319,27107,caofang,beiyunhedong
33,31,320,27998,dongxiayuan,changying
31,34,321,35743,changying,haojiafu
41,34,322,31567,wuzi_xueyuan_lu,haojiafu
31,30,323,28062,changying,caofang
38,34,324,23672,qingnian_lu,haojiafu
39,35,325,27139,shilipu,huangqu
40,38,326,32772,tongzhou_beiguan,qingnian_lu
33,35,327,24928,dongxiayuan,huangqu
30,38,328,27355,caofang,qingnian_lu
31,34,329,30447,changying,haojiafu
38,31,330,30560,qingnian_lu,changying
35,41,331,26455,huangqu,wuzi_xueyuan_lu
38,28,332,23091,qingnian_lu,beiyunhedong
30,28,333,30210,caofang,beiyunhedong
36,41,334,35497,jintai_lu,wuzi_xueyuan_lu
36,28,335,21962,jintai_lu,beiyunhedong
40,30,336,23405,tongzhou_beiguan,caofang
41,38,337,24903,wuzi_xueyuan_lu,qingnian_lu
41,31,338,33880,wuzi_xueyuan_lu,changying
34,38,339,28860,haojiafu,qingnian_lu
36,41,340,22498,jintai_lu,wuzi_xueyuan_lu
40,29,341,25860,tongzhou_beiguan,beiyunhexi
41,40,342,23445,wuzi_xueyuan_lu,tongzhou_beiguan
28,34,343,33636,beiyunhedong,haojiafu
34,28,344,29882,haojiafu,beiyunhedong
41,37,345,23628,wuzi_xueyuan_lu,lucheng
30,29,346,34898,caofang,beiyunhexi
36,32,347,35632,jintai_lu,dalianpo
39,29,348,28561,shilipu,beiyunhexi
40,30,349,24337,tongzhou_beiguan,caofang
38,31,350,24964,qingnian_lu,changying
38,28,351,26403,qingnian_lu,beiyunhedong
33,31,352,29542,dongxiayuan,changying
30,37,353,25541,caofang,lucheng
39,35,354,35241,shilipu,huangqu
32,31,355,34358,dalianpo,changying
35,34,356,32121,huangqu,haojiafu
35,39,357,26475,huangqu,shilipu
28,40,358,33624,beiyunhedong,tongzhou_beiguan
38,35,359,21878,qingnian_lu,huangqu
36,31,360,33574,jintai_lu,changying
33,31,361,23261,dongxiayuan,changying
41,31,362,33854,wuzi_xueyuan_lu,changying
28,35,363,35057,beiyunhedong,huangqu
28,29,364,35790,beiyunhedong,beiyunhexi
30,36,365,35238,caofang,jintai_lu
34,38,366,27816,haojiafu,qingnian_lu
30,40,367,24241,caofang,tongzhou_beiguan
36,35,368,27455,jintai_lu,huangqu
29,38,369,31765,beiyunhexi,qingnian_lu
35,31,370,27763,huangqu,changying
28,41,371,34153,beiyunhedong,wuzi_xueyuan_lu
32,29,372,30863,dalianpo,beiyunhexi
34,33,373,23650,haojiafu,dongxiayuan
30,31,374,35915,caofang,changying
35,40,375,30072,huangqu,tongzhou_beiguan
40,37,376,26216,tongzhou_beiguan,lucheng
29,41,377,23196,beiyunhexi,wuzi_xueyuan_lu
34,33,378,30078,haojiafu,dongxiayuan
29,38,379,28871,beiyunhexi,qingnian_lu
37,30,380,25174,lucheng,caofang
36,31,381,22890,jintai_lu,changying
38,28,382,24417,qingnian_lu,beiyunhedong
30,37,383,33634,caofang,lucheng
33,40,384,33542,dongxiayuan,tongzhou_beiguan
40,29,385,32128,tongzhou_beiguan,beiyunhexi
31,39,386,25303,changying,shilipu
33,38,387,27848,dongxiayuan,qingnian_lu
30,41,388,30212,caofang,wuzi_xueyuan_lu
32,39,389,27952,dalianpo,shilipu
38,35,390,31177,qingnian_lu,huangqu
29,37,391,32876,beiyunhexi,lucheng
41,30,392,34021,wuzi_xueyuan_lu,caofang
32,31,393,32840,dalianpo,changying
37,30,394,30151,lucheng,caofang
41,36,395,33642,wuzi_xueyuan_lu,jintai_lu
36,39,396,35144,jintai_lu,shilipu
40,36,397,28205,tongzhou_beiguan,jintai_lu
36,30,398,28341,jintai_lu,caofang
39,36,399,28801,shilipu,jintai_lu
33,28,400,27480,dongxiayuan,beiyunhedong
36,41,401,27236,jintai_lu,wuzi_xueyuan_lu
34,33,402,27455,haojiafu,dongxiayuan
31,39,403,29610,changying,shilipu
39,31,404,34218,shilipu,changying
40,32,405,30871,tongzhou_beiguan,dalianpo
37,34,406,21674,lucheng,haojiafu
40,30,407,26803,tongzhou_beiguan,caofang
34,32,408,23780,haojiafu,dalianpo
40,35,409,29839,tongzhou_beiguan,huangqu
34,31,410,28150,haojiafu,changying
36,37,411,22756,jintai_lu,lucheng
39,29,412,32083,shilipu,beiyunhexi
39,40,413,25758,shilipu,tongzhou_beiguan
40,32,414,33352,tongzhou_beiguan,dalianpo
37,31,415,35033,lucheng,changying
32,41,416,26314,dalianpo,wuzi_xueyuan_lu
40,30,417,28448,tongzhou_beiguan,caofang
32,38,418,28763,dalianpo,qingnian_lu
36,28,419,30926,jintai_lu,beiyunhedong
39,31,420,32119,shilipu,changying
28,41,421,34150,beiyunhedong,wuzi_xueyuan_lu
32,29,422,24757,dalianpo,beiyunhexi
38,34,423,34690,qingnian_lu,haojiafu
29,38,424,31665,beiyunhexi,qingnian_lu
38,32,425,29426,qingnian_lu,dalianpo
39,34,426,30025,shilipu,haojiafu
28,41,427,23389,beiyunhedong,wuzi_xueyuan_lu
34,38,428,25036,haojiafu,qingnian_lu
33,40,429,31288,dongxiayuan,tongzhou_beiguan
38,39,430,30555,qingnian_lu,shilipu
41,28,431,21909,wuzi_xueyuan_lu,beiyunhedong
33,28,432,24674,dongxiayuan,beiyunhedong
31,29,433,29848,changying,beiyunhexi
34,38,434,35551,haojiafu,qingnian_lu
39,32,435,30722,shilipu,dalianpo
32,34,436,24397,dalianpo,haojiafu
32,31,437,34400,dalianpo,changying
39,41,438,27746,shilipu,wuzi_xueyuan_lu
40,35,439,23866,tongzhou_beiguan,huangqu
30,33,440,25266,caofang,dongxiayuan
37,28,441,28884,lucheng,beiyunhedong
28,37,442,25395,beiyunhedong,lucheng
30,37,443,28796,caofang,lucheng
38,33,444,32608,qingnian_lu,dongxiayuan
31,35,445,30370,changying,huangqu
37,30,446,33114,lucheng,caofang
36,29,447,30712,jintai_lu,beiyunhexi
28,31,448,34276,beiyunhedong,changying
40,32,449,27432,tongzhou_beiguan,dalianpo
33,32,450,35481,dongxiayuan,dalianpo
34,31,451,28994,haojiafu,changying
29,36,452,32390,beiyunhexi,jintai_lu
40,41,453,22925,tongzhou_beiguan,wuzi_xueyuan_lu
37,29,454,27535,lucheng,beiyunhexi
28,33,455,34459,beiyunhedong,dongxiayuan
37,31,456,33923,lucheng,changying
31,39,457,29394,changying,shilipu
40,31,458,30082,tongzhou_beiguan,changying
40,29,459,31472,tongzhou_beiguan,beiyunhexi
31,34,460,35158,changying,haojiafu
30,34,461,31586,caofang,haojiafu
37,39,462,35936,lucheng,shilipu
34,28,463,33298,haojiafu,beiyunhedong
35,37,464,32187,huangqu,lucheng
31,33,465,24642,changying,dongxiayuan
36,28,466,33176,jintai_lu,beiyunhedong
40,29,467,35976,tongzhou_beiguan,beiyunhexi
29,39,468,30559,beiyunhexi,shilipu
36,30,469,22313,jintai_lu,caofang
35,32,470,21925,huangqu,dalianpo
29,30,471,28193,beiyunhexi,caofang
39,36,472,35626,shilipu,jintai_lu
35,33,473,23634,huangqu,dongxiayuan
39,28,474,33755,shilipu,beiyunhedong
30,31,475,32273,caofang,changying
33,37,476,29593,dongxiayuan,lucheng
36,33,477,27646,jintai_lu,dongxiayuan
30,39,478,29887,caofang,shilipu
31,41,479,35720,changying,wuzi_xueyuan_lu
38,39,480,21955,qingnian_lu,shilipu
29,36,481,29946,beiyunhexi,jintai_lu
32,40,482,24780,dalianpo,tongzhou_beiguan
28,32,483,30637,beiyunhedong,dalianpo
41,29,484,28753,wuzi_xueyuan_lu,beiyunhexi
34,35,485,29765,haojiafu,huangqu
29,33,486,35309,beiyunhexi,dongxiayuan
29,30,487,33468,beiyunhexi,caofang
39,33,488,21814,shilipu,dongxiayuan
40,29,489,26788,tongzhou_beiguan,beiyunhexi
28,36,490,32108,beiyunhedong,jintai_lu
28,30,491,21851,beiyunhedong,caofang
28,38,492,35569,beiyunhedong,qingnian_lu
32,39,493,22360,dalianpo,shilipu
36,40,494,32079,jintai_lu,tongzhou_beiguan
41,33,495,34972,wuzi_xueyuan_lu,dongxiayuan
37,36,496,24710,lucheng,jintai_lu
33,32,497,35708,dongxiayuan,dalianpo
31,38,498,34536,changying,qingnian_lu
28,35,499,33057,beiyunhedong,huangqu
40,29,500,23473,tongzhou_beiguan,beiyunhexi
38,28,501,26686,qingnian_lu,beiyunhedong
29,34,502,26620,beiyunhexi,haojiafu
31,30,503,22632,changying,caofang
34,28,504,27650,haojiafu,beiyunhedong
33,31,505,29400,dongxiayuan,changying
33,29,506,34706,dongxiayuan,beiyunhexi
33,36,507,34328,dongxiayuan,jintai_lu
35,29,508,35125,huangqu,beiyunhexi
31,36,509,28462,changying,jintai_lu
32,30,510,29295,dalianpo,caofang
32,28,511,33036,dalianpo,beiyunhedong
32,31,512,23686,dalianpo,changying
35,34,513,35931,huangqu,haojiafu
39,34,514,26648,shilipu,haojiafu
29,41,515,27784,beiyunhexi,wuzi_xueyuan_lu
38,39,516,34484,qingnian_lu,shilipu
35,41,517,30071,huangqu,wuzi_xueyuan_lu
38,37,518,23354,qingnian_lu,lucheng
37,30,519,30617,lucheng,caofang
36,34,520,35373,jintai_lu,haojiafu
39,31,521,24331,shilipu,changying
36,30,522,23683,jintai_lu,caofang
39,32,523,32879,shilipu,dalianpo
32,38,524,30232,dalianpo,qingnian_lu
28,37,525,28728,beiyunhedong,lucheng
32,36,526,24474,dalianpo,jintai_lu
36,33,527,28399,jintai_lu,dongxiayuan
41,31,528,31317,wuzi_xueyuan_lu,changying
33,37,529,23256,dongxiayuan,lucheng
37,32,530,34626,lucheng,dalianpo
39,35,531,30164,shilipu,huangqu
35,28,532,27272,huangqu,beiyunhedong
40,34,533,34966,tongzhou_beiguan,haojiafu
34,31,534,23405,haojiafu,changying
28,37,535,33697,beiyunhedong,lucheng
40,39,536,27504,tongzhou_beiguan,shilipu
31,30,537,21750,changying,caofang
35,36,538,22307,huangqu,jintai_lu
31,40,539,31169,changying,tongzhou_beiguan
31,40,540,24951,changying,tongzhou_beiguan
37,34,541,35663,lucheng,haojiafu
41,38,542,28065,wuzi_xueyuan_lu,qingnian_lu
30,31,543,29641,caofang,changying
33,41,544,31358,dongxiayuan,wuzi_xueyuan_lu
41,33,545,30179,wuzi_xueyuan_lu,dongxiayuan
28,33,546,23065,beiyunhedong,dongxiayuan
41,33,547,33313,wuzi_xueyuan_lu,dongxiayuan
33,32,548,25459,dongxiayuan,dalianpo
31,29,549,25362,changying,beiyunhexi
33,37,550,28936,dongxiayuan,lucheng
41,31,551,29561,wuzi_xueyuan_lu,changying
32,34,552,26289,dalianpo,haojiafu
37,36,553,23120,lucheng,jintai_lu
37,38,554,28673,lucheng,qingnian_lu
33,39,555,32696,dongxiayuan,shilipu
29,31,556,31174,beiyunhexi,changying
33,34,557,32497,dongxiayuan,haojiafu
39,30,558,30147,shilipu,caofang
36,37,559,24517,jintai_lu,lucheng
36,40,560,24921,jintai_lu,tongzhou_beiguan
39,35,561,32319,shilipu,huangqu
38,34,562,27678,qingnian_lu,haojiafu
35,38,563,33642,huangqu,qingnian_lu
30,41,564,29812,caofang,wuzi_xueyuan_lu
31,30,565,27634,changying,caofang
37,34,566,31130,lucheng,haojiafu
29,36,567,32456,beiyunhexi,jintai_lu
32,33,568,27653,dalianpo,dongxiayuan
41,31,569,26133,wuzi_xueyuan_lu,changying
39,33,570,23562,shilipu,dongxiayuan
33,38,571,30188,dongxiayuan,qingnian_lu
28,33,572,29496,beiyunhedong,dongxiayuan
37,33,573,26058,lucheng,dongxiayuan
41,28,574,26128,wuzi_xueyuan_lu,beiyunhedong
33,29,575,27153,dongxiayuan,beiyunhexi
28,39,576,34743,beiyunhedong,shilipu
28,37,577,35577,beiyunhedong,lucheng
34,30,578,22107,haojiafu,caofang
32,33,579,22101,dalianpo,dongxiayuan
31,28,580,22904,changying,beiyunhedong
35,33,581,27103,huangqu,dongxiayuan
40,32,582,29463,tongzhou_beiguan,dalianpo
36,40,583,29802,jintai_lu,tongzhou_beiguan
38,32,584,25730,qingnian_lu,dalianpo
39,40,585,30811,shilipu,tongzhou_beiguan
37,28,586,29382,lucheng,beiyunhedong
32,30,587,27538,dalianpo,caofang
29,39,588,24625,beiyunhexi,shilipu
37,36,589,32756,lucheng,jintai_lu
28,40,590,23455,beiyunhedong,tongzhou_beiguan
36,33,591,23659,jintai_lu,dongxiayuan
39,38,592,33786,shilipu,qingnian_lu
35,37,593,24348,huangqu,lucheng
32,30,594,31439,dalianpo,caofang
39,37,595,24851,shilipu,lucheng
39,32,596,22365,shilipu,dalianpo
28,38,597,25284,beiyunhedong,qingnian_lu
32,33,598,26792,dalianpo,dongxiayuan
41,37,599,23903,wuzi_xueyuan_lu,lucheng
39,29,600,27463,shilipu,beiyunhexi
37,41,601,33215,lucheng,wuzi_xueyuan_lu
